name,capacity,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12
Team 1,2,Rosa,Yusuf,Priya,Bianca,Ethan,Layla,Delia,Hana,Uma,Farah,Ibrahim
Team 2,1,Rosa,Aiden,Ethan,Talia,Caleb,Ibrahim,Hana,Farah,Delia,Marcus,Quentin
Team 3,2,Gavin,Ethan,Yusuf,Aiden,Jolene,Caleb,Uma,Talia,Oscar,Samir,Hana,Rosa
Team 4,1,Priya,Rosa,Victor,Yusuf,Talia,Nadia,Quentin,Ibrahim,Layla,Jolene,Hana,Farah
Team 5,2,Uma,Jolene,Delia,Marcus,Priya,Ethan,Farah,Victor,Talia,Ibrahim,Caleb,Aiden,Ximena
Team 6,1,Oscar,Farah,Quentin,Talia,Gavin,Uma,Rosa,Nadia,Caleb,Ximena,Ibrahim,Wren
Team 7,2,Delia,Farah,Kenji,Uma,Caleb,Oscar,Ibrahim,Gavin,Jolene,Aiden,Rosa
Team 8,1,Uma,Ethan,Ibrahim,Delia,Quentin,Ximena,Jolene,Marcus,Bianca,Victor,Wren
Team 9,2,Hana,Gavin,Talia,Delia,Caleb,Priya,Victor,Wren,Oscar,Ethan,Layla,Nadia,Yusuf
Team 10,1,Priya,Oscar,Ximena,Wren,Kenji,Jolene,Farah,Yusuf,Nadia,Uma,Gavin
Team 11,2,Hana,Caleb,Kenji,Bianca,Ximena,Talia,Rosa,Aiden,Delia,Wren,Samir
Team 12,1,Wren,Gavin,Quentin,Nadia,Farah,Talia,Delia,Ximena,Aiden,Marcus,Priya
Team 13,2,Aiden,Uma,Wren,Jolene,Farah,Samir,Rosa,Delia,Priya,Talia,Ximena
Team 14,1,Oscar,Layla,Ethan,Uma,Quentin,Farah,Talia,Marcus,Gavin,Ibrahim,Ximena,Samir
Team 15,2,Bianca,Gavin,Jolene,Hana,Aiden,Ibrahim,Delia,Talia,Layla,Oscar,Victor,Uma,Farah
Team 16,1,Bianca,Yusuf,Farah,Gavin,Victor,Aiden,Layla,Delia,Wren,Samir,Kenji,Talia
Team 17,2,Victor,Aiden,Kenji,Gavin,Quentin,Priya,Talia,Samir,Rosa,Ximena,Jolene,Ibrahim
Team 18,1,Layla,Jolene,Kenji,Priya,Nadia,Talia,Farah,Ethan,Rosa,Ibrahim,Bianca,Gavin
Team 19,2,Layla,Talia,Rosa,Aiden,Wren,Ximena,Jolene,Victor,Quentin,Farah,Yusuf,Oscar,Nadia
Team 20,1,Ethan,Talia,Yusuf,Jolene,Farah,Oscar,Gavin,Hana,Rosa,Priya,Kenji,Delia
